X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
126.760831E,37.726843N,경기,Charcoal,파주 운정,Wadong Ⅲ-14 house ,Gyounggi Cultural Property Research Institute,1710,60,마한,,원삼국-백제 한성기,파주 운정 Wadong Ⅲ-14 house 
127.172105E,37.865923N,경기,Charcoal,포천 자작리,22,Giho Cultural Heritage Research Center,1710,30 ,중도,,원삼국-백제 한성기,포천 자작리 22
127.741843E,37.054646N,충청,N/A,충주 문성리,1-5,Jungwon Cultural Properties Institute,1710,40,마한,,원삼국-백제 한성기,충주 문성리 1-5
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-6,Gangwon Research Institute of Archaeological and Cultural Properties,1710,30,중도,No,원삼국-백제 한성기,평창 후평리 가-6
127.243675E,37.39228N,경기,Charcoal,광주 장지동,20 ,Gyounggi Cultural Property Research Institute,1714,19,중도,,원삼국-백제 한성기,광주 장지동 20 
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,2,Gangwon Cultural Property Research Institute,1715,29,중도,,원삼국-백제 한성기,홍천 성산리 2
127.681392E,38.062789N,강원,Charcoal,화천 원천리,37,Yemaek Cultural Property Research Institute,1715,20,중도,,원삼국-백제 한성기,화천 원천리 37
127.701081E,37.885079N,강원,Charcoal,춘천 중도동,2,Gangwon Archaeological Culture Research Institute,1718,15,중도,,원삼국-백제 한성기,춘천 중도동 2
128.387281E,37.355477N,강원,Charcoal,평창 종부리,Ⅳ-1,Gangwon Archaeological Culture Research Institute,1720,40,중도,,원삼국-백제 한성기,평창 종부리 Ⅳ-1
127.243675E,37.39228N,경기,Charcoal,광주 장지동,17 ,Gyounggi Cultural Property Research Institute,1720,20,중도,,원삼국-백제 한성기,광주 장지동 17 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,74,Central Institute of Cultural Heritage,1720,50,마한,,원삼국-백제 한성기,남양주 장현 74
127.018379E,38.109908N,경기,Charcoal,연천 강내리,43 ,Korea Institute of Heritage,1720,40,중도,,원삼국-백제 한성기,연천 강내리 43 
127.172105E,37.865923N,경기,Charcoal,포천 자작리,13,Giho Cultural Heritage Research Center,1720,30 ,중도,,원삼국-백제 한성기,포천 자작리 13
127.172105E,37.865923N,경기,Charcoal,포천 자작리,9,Giho Cultural Heritage Research Center,1720,40 ,중도,,원삼국-백제 한성기,포천 자작리 9
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,1 ,Korea Institute of Heritage,1720,60,마한,,원삼국-백제 한성기,하남 명월동 구산 1 
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-10,Korea Institute of Heritage,1720,50 ,중도,,원삼국-백제 한성기,가평 항사리 나-10
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-9,Korea Institute of Heritage,1720,50 ,중도,,원삼국-백제 한성기,가평 항사리 나-9
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,31,Korea Institute of Heritage,1720,30,중도,No,원삼국-백제 한성기,광주 곤지암리 31
127.537310E,37.421297N,경기,Charcoal,양평 상자포리,1,Hanyang Institute of Cultural Heritage,1720,25,중도,No,원삼국-백제 한성기,양평 상자포리 1
127.532306E,37.430364N,경기,Charcoal,양평 하자포리,삼(한)-3,Korea Cultural Heritage Foundation,1720,24,중도,No,원삼국-백제 한성기,양평 하자포리 삼(한)-3
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-15,Gangwon Research Institute of Archaeological and Cultural Properties,1720,30,중도,No,원삼국-백제 한성기,평창 후평리 가-15
128.492648E,37.14987N,강원,Charcoal,영월 팔괴리,Proto-three Kingdoms pit house,Gangwon Cultural Property Research Institute,1720,36,중도,,원삼국-백제 한성기,영월 팔괴리 Proto-three Kingdoms pit house
127.117257E,37.400068N,경기,Charcoal,성남 동판교,21-2-2 ,Korea Institute of Heritage,1720,36,마한,,원삼국-백제 한성기,성남 동판교 21-2-2 
127.536111E,37.423056N,경기,Charcoal,양평 하자포리,삼(한)-주-3,Korea Cultural Heritage Foundation,1721,18,중도,Yes,원삼국-백제 한성기,양평 하자포리 삼(한)-주-3
128.213845E,37.511937N,강원,N/A,횡성 둔내,1,Gangwon Cultural Property Research Institute,1722,14,중도,,원삼국-백제 한성기,횡성 둔내 1
127.018379E,38.109908N,경기,Charcoal,연천 강내리,44 ,Korea Institute of Heritage,1723,32,중도,,원삼국-백제 한성기,연천 강내리 44 
127.07208E,37.205312N,경기,Charcoal,화성 석우리,7 ,Gyounggi Cultural Property Research Institute,1723,23,마한,,원삼국-백제 한성기,화성 석우리 7 
127.681392E,38.062789N,강원,Charcoal,화천 원천리,21,Yemaek Cultural Property Research Institute,1725,20,중도,,원삼국-백제 한성기,화천 원천리 21
127.166779E,37.626062N,경기,Charcoal,남양주 지금동,4 ,Museum of Sejong University,1725,36,중도,,원삼국-백제 한성기,남양주 지금동 4 
127.243675E,37.39228N,경기,Charcoal,광주 장지동,14 ,Gyounggi Cultural Property Research Institute,1727,15,중도,,원삼국-백제 한성기,광주 장지동 14 
127.532306E,37.430364N,경기,Charcoal,양평 하자포리,삼(한)-2,Korea Cultural Heritage Foundation,1729,16,중도,Yes,원삼국-백제 한성기,양평 하자포리 삼(한)-2
127.098028E,37.19868N,경기,N/A,화성 청계리,Proto-three Kingdoms~Three Kingdoms 4 ,Hanbaek Cultural Property Research Institute,1730,40 ,마한,,원삼국-백제 한성기,화성 청계리 Proto-three Kingdoms~Three Kingdoms 4 
127.944313E,37.3848N,강원,Charcoal,원주 가현동,13,Gangwon Cultural Property Research Institute,1730,40,중도,,원삼국-백제 한성기,원주 가현동 13
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun 335-4: 1,Gangwon Cultural Property Research Institute,1730,50,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun 335-4: 1
127.701081E,37.885079N,강원,Charcoal,춘천 중도동,C-3,Gangwon Archaeological Culture Research Institute,1730,40,중도,,원삼국-백제 한성기,춘천 중도동 C-3
128.375016E,37.329616N,강원,Charcoal,춘천 천동리∙마지리,Cheondong-4,Gangwon Archaeological Culture Research Institute,1730,60,중도,,원삼국-백제 한성기,춘천 천동리∙마지리 Cheondong-4
128.421572E,37.436098N,강원,Charcoal,평창 방림리,1,Gangwon Archaeological Culture Research Institute,1730,60,중도,,원삼국-백제 한성기,평창 방림리 1
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,36 ,Gangwon Cultural Property Research Institute,1730,50,중도,,원삼국-백제 한성기,홍천 성산리 36 
