X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
126.903069,37.129636,경기,Charcoal,화성 발안리,19,기전문화재연구원,2080,50,백제(呂·凸자형),X,기전문화재연구원 화성 발안리 19  ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,21,기전문화재연구원,1840,60,백제(呂·凸자형),521500,기전문화재연구원 화성 발안리 21  ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,24,기전문화재연구원,1890,50,백제(방형),283725,기전문화재연구원 화성 발안리 24 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,27,기전문화재연구원,1850,50,백제(呂·凸자형),500150,기전문화재연구원 화성 발안리 27 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,28,기전문화재연구원,1970,50,백제(呂·凸자형),256600,기전문화재연구원 화성 발안리 28 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,3,기전문화재연구원,1590,50,불명,X,기전문화재연구원 화성 발안리 3 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,30,기전문화재연구원,1780,50,불명,X,기전문화재연구원 화성 발안리 30 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,38,기전문화재연구원,1780,50,백제(방형),X,기전문화재연구원 화성 발안리 38 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,43,기전문화재연구원,1560,50,백제(방형),494100,기전문화재연구원 화성 발안리 43 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,5,기전문화재연구원,1840,60,백제(呂·凸자형),X,기전문화재연구원 화성 발안리 5 ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,51,기전문화재연구원,1800,50,불명,X,기전문화재연구원 화성 발안리 51 ,경기남부
127.07208,37.205312,경기,Charcoal,화성 석우리 먹실,6,경기문화재연구원,1730,36,백제(방형),939300,경기문화재연구원 화성 석우리 먹실 6 ,경기남부
127.07208,37.205312,경기,Charcoal,화성 석우리 먹실,7,경기문화재연구원,1723,23,백제(방형),648508,경기문화재연구원 화성 석우리 먹실 7 ,경기남부
126.952196,37.075479,경기,Charcoal,화성 신왕리,2-1,서경문화재연구원,1700,30,백제(呂·凸자형),X,서경문화재연구원 화성 신왕리 2-1,경기남부
126.946822,37.192675,경기,Charcoal,화성 왕림리 노리재골,1,중부고고학연구소,1620,40,백제(방형),X,중부고고학연구소 화성 왕림리 노리재골 1  ,경기남부
126.966868,37.11245,경기,Charcoal,화성 요리,2,화서문화재연구원,1680,30,백제(방형),X,화서문화재연구원 화성 요리 2,경기남부
126.966868,37.11245,경기,Charcoal,화성 요리,4,화서문화재연구원,1610,30,백제(방형),X,화서문화재연구원 화성 요리 4,경기남부
126.781242,37.079331,경기,Charcoal,화성 운평리,1,청구고고연구원,1730,30,기타(원형),X,청구고고연구원 화성 운평리 1,경기남부
126.893393,37.126708,경기,Unknown,화성 제암리,1,한양문화재연구원,1590,30,백제(방형),730080,한양문화재연구원 화성 제암리 1,경기남부
126.950903,37.24718,경기,Charcoal,화성 천천리,1-삼-1,중부고고학연구소,1977,27,신라(방형),X,중부고고학연구소 화성 천천리 1-삼-1,경기남부
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-26 ,한백문화재연구원,1590,30,백제(방형),X,한백문화재연구원 화성 청계리 마-A-26 ,경기남부
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-28,한백문화재연구원,1650,30,백제(방형),X,한백문화재연구원 화성 청계리 마-A-28,경기남부
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-36,한백문화재연구원,1630,30,백제(방형),X,한백문화재연구원 화성 청계리 마-A-36,경기남부
